"REGION TYPE","REGION","YEAR","WEEK","% WEIGHTED ILI","%UNWEIGHTED ILI","AGE 0-4","AGE 25-49","AGE 25-64","AGE 5-24","AGE 50-64","AGE 65","ILITOTAL","NUM. OF PROVIDERS","TOTAL PATIENTS"
"HHS Regions","Region 3",2015,30,0.999289,0.818425,178,203,NA,281,59,43,764,205,93350
"HHS Regions","Region 4",2015,30,0.45585,0.504217,161,80,NA,118,48,27,434,196,86074
"HHS Regions","Region 5",2015,30,0.581513,0.796939,150,115,NA,176,64,49,554,181,69516
"HHS Regions","Region 6",2015,30,0.95152,1.04122,227,171,NA,211,61,61,731,158,70206
"HHS Regions","Region 7",2015,30,0.213522,0.290874,2,6,NA,9,3,4,24,44,8251
"HHS Regions","Region 8",2015,30,0.469566,0.585759,42,52,NA,84,8,6,192,88,32778
"HHS Regions","Region 9",2015,30,0.962723,0.789735,105,101,NA,125,66,48,445,169,56348
"HHS Regions","Region 10",2015,30,0.274353,0.327273,5,3,NA,2,3,5,18,44,5500
"HHS Regions","Region 1",2015,31,0.36071,0.431073,44,18,NA,59,8,15,144,100,33405
"HHS Regions","Region 2",2015,31,1.58666,1.26764,488,294,NA,491,115,63,1451,169,114465
"HHS Regions","Region 3",2015,31,0.881078,0.780143,177,181,NA,309,67,42,776,198,99469
"HHS Regions","Region 4",2015,31,0.439499,0.460041,163,79,NA,93,29,31,395,197,85862
"HHS Regions","Region 5",2015,31,0.585031,0.810165,182,111,NA,173,54,36,556,179,68628
"HHS Regions","Region 6",2015,31,0.907402,0.983029,199,184,NA,234,72,64,753,172,76600
"HHS Regions","Region 7",2015,31,0.280848,0.297427,4,6,NA,4,3,6,23,43,7733
"HHS Regions","Region 8",2015,31,0.486867,0.656586,32,52,NA,94,14,6,198,90,30156
"HHS Regions","Region 9",2015,31,0.957826,0.764991,93,97,NA,126,57,60,433,173,56602
"HHS Regions","Region 10",2015,31,0.277682,0.407332,10,4,NA,7,1,2,24,43,5892
"HHS Regions","Region 1",2015,32,0.384903,0.440459,44,17,NA,64,5,10,140,99,31785
"HHS Regions","Region 2",2015,32,1.39358,1.13329,445,267,NA,436,97,49,1294,164,114181
"HHS Regions","Region 3",2015,32,1.0792,0.789035,170,201,NA,292,69,44,776,193,98348
"HHS Regions","Region 4",2015,32,0.700063,0.635945,191,104,NA,186,38,33,552,193,86800
"HHS Regions","Region 5",2015,32,0.597183,0.76974,168,106,NA,164,66,43,547,177,71063
"HHS Regions","Region 6",2015,32,0.954889,0.976281,168,192,NA,262,58,58,738,167,75593
"HHS Regions","Region 7",2015,32,0.116262,0.145879,2,3,NA,2,4,1,12,42,8226
"HHS Regions","Region 8",2015,32,0.40949,0.609589,43,42,NA,73,12,8,178,87,29200
"HHS Regions","Region 9",2015,32,1.06719,0.850998,94,128,NA,184,47,44,497,176,58402
"HHS Regions","Region 10",2015,32,0.176249,0.263591,5,2,NA,4,4,1,16,42,6070
"HHS Regions","Region 1",2015,33,0.361836,0.430765,48,18,NA,52,7,13,138,92,32036
"HHS Regions","Region 2",2015,33,1.12294,1.05248,428,244,NA,383,91,58,1204,161,114396
"HHS Regions","Region 3",2015,33,0.925596,0.77421,172,207,NA,292,77,51,799,199,103202
"HHS Regions","Region 4",2015,33,0.716647,0.731319,246,103,NA,303,39,26,717,199,98042
"HHS Regions","Region 5",2015,33,0.581626,0.714199,155,114,NA,159,67,34,529,173,74069
"HHS Regions","Region 6",2015,33,1.28703,1.20624,235,271,NA,347,78,81,1012,187,83897
"HHS Regions","Region 7",2015,33,0.283492,0.289519,4,12,NA,8,5,1,30,43,10362
"HHS Regions","Region 8",2015,33,0.388013,0.462325,29,27,NA,61,12,12,141,85,30498
"HHS Regions","Region 9",2015,33,1.08806,1.02862,107,131,NA,206,58,81,583,174,56678
"HHS Regions","Region 10",2015,33,0.233461,0.293513,5,7,NA,4,2,2,20,43,6814
"HHS Regions","Region 1",2015,34,0.394007,0.460286,53,22,NA,55,12,14,156,87,33892
"HHS Regions","Region 2",2015,34,1.12921,1.02292,419,201,NA,405,72,49,1146,152,112032
"HHS Regions","Region 3",2015,34,0.796299,0.812773,209,243,NA,318,57,44,871,204,107164
"HHS Regions","Region 4",2015,34,0.77271,0.794725,321,118,NA,288,62,45,834,194,104942
"HHS Regions","Region 5",2015,34,0.653146,0.781331,176,137,NA,185,62,46,606,187,77560
"HHS Regions","Region 6",2015,34,1.02144,1.22318,345,252,NA,391,71,65,1124,190,91892
"HHS Regions","Region 7",2015,34,0.212095,0.263397,5,4,NA,16,1,3,29,44,11010
"HHS Regions","Region 8",2015,34,0.563506,0.647044,34,49,NA,100,15,6,204,87,31528
"HHS Regions","Region 9",2015,34,1.21307,1.11961,124,121,NA,274,70,81,670,177,59842
"HHS Regions","Region 10",2015,34,0.129447,0.137955,1,4,NA,1,1,1,8,40,5799
"HHS Regions","Region 1",2015,35,0.364309,0.42729,52,19,NA,54,13,12,150,93,35105
"HHS Regions","Region 2",2015,35,1.1994,1.0295,403,230,NA,424,85,55,1197,159,116270
"HHS Regions","Region 3",2015,35,1.06881,1.01661,236,259,NA,409,86,46,1036,195,101907
